epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,16763.4,1.18178,2.22854,1.28741,0.0151,1.07764,0.84684,0.78501,0.85814,0.57633,0.7441,0.68645,0.70157,0.39457,1.21705,2.56975,0.85661,0.02584,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,17100.1,1.16903,2.19752,1.25641,0.01496,1.0619,0.85367,0.79192,0.86193,0.5793,0.75456,0.69286,0.70364,0.3956,1.21394,2.57785,0.84358,0.02568,0,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,17436.7,1.17129,2.18868,1.24722,0.01493,1.05265,0.84433,0.80229,0.86454,0.58285,0.73967,0.70026,0.70472,0.39659,1.21056,2.58768,0.83371,0.02557,0,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,17773.1,1.17593,2.21115,1.25902,0.01513,1.04694,0.83887,0.81146,0.86827,0.58711,0.74234,0.70696,0.71376,0.4034,1.20369,2.58599,0.82423,0.02539,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,18111.8,1.16474,2.19613,1.25028,0.01484,1.03467,0.85469,0.80321,0.86903,0.58935,0.7577,0.70348,0.71585,0.40512,1.20352,2.59557,0.81342,0.0254,0,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,18451.1,1.15334,2.17007,1.2081,0.01476,1.00935,0.85122,0.80986,0.87119,0.59135,0.75077,0.7114,0.71505,0.40541,1.19641,2.59305,0.8125,0.02525,0,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,18790.6,1.15303,2.16012,1.2121,0.01468,1.01548,0.84855,0.81376,0.87426,0.59386,0.75397,0.71114,0.7192,0.40653,1.19141,2.58984,0.80695,0.0251,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,19130.5,1.1575,2.15661,1.20533,0.01471,1.00403,0.86523,0.80913,0.87702,0.59722,0.76684,0.70978,0.72107,0.4095,1.18799,2.59173,0.7946,0.02503,0,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,19471.2,1.13987,2.13477,1.18563,0.01447,0.99131,0.85493,0.81997,0.87918,0.5988,0.75546,0.71217,0.7183,0.40811,1.18316,2.59492,0.78949,0.02491,0,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,19810.8,1.13758,2.1262,1.18137,0.01451,0.97741,0.84748,0.82873,0.87965,0.60008,0.7561,0.71619,0.71906,0.40869,1.17832,2.59266,0.78814,0.02481,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,20151.7,1.13787,2.12505,1.17426,0.01451,0.98438,0.85537,0.8295,0.88091,0.6029,0.75484,0.73031,0.72181,0.41103,1.17312,2.59929,0.77937,0.0247,0,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,20491.4,1.13185,2.10856,1.16243,0.01437,0.9645,0.86257,0.828,0.8832,0.60514,0.76773,0.72709,0.72441,0.41274,1.17026,2.60251,0.77046,0.0246,0,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,20833.6,1.13253,2.12764,1.16116,0.01437,0.96695,0.86494,0.82828,0.88411,0.60624,0.76457,0.72633,0.72452,0.41525,1.1671,2.60244,0.76291,0.02454,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,21175.4,1.11755,2.10545,1.14494,0.0142,0.94866,0.86529,0.82703,0.88675,0.609,0.7652,0.72557,0.72657,0.41696,1.16366,2.6031,0.75778,0.02446,0,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,21516.1,1.11313,2.10464,1.14555,0.01419,0.9528,0.87706,0.82413,0.88756,0.61032,0.77452,0.72408,0.7261,0.4176,1.16359,2.60221,0.74757,0.02443,0,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
